#{"t_start": 1759939076.265195, "env_id": "None"}
r,l,t
-2.647276,10,8.408486
-2.761933,10,16.362129
-3.037369,10,24.40658
-2.564779,10,32.350688
-2.779412,10,40.282653
-2.41045,10,49.869045
-2.916538,10,57.90269
-2.749881,10,65.857906
-3.002109,10,73.828723
1.099034,10,81.77074
-1.049493,10,89.716124
-2.9129,10,97.674452
-2.122537,10,105.623891
-3.270233,10,115.218874
-0.107979,10,123.230795
-1.740712,10,131.162949
-2.126806,10,139.245672
-3.241013,10,147.296337
-3.205983,10,155.35709
-2.923478,10,163.443443
-3.36141,10,171.514707
-2.899078,10,181.104396
1.093662,10,189.128704
-2.460049,10,197.060813
